Latitude: 2828.9429860000 N, Longitude: 7706.3262320000 E
Latitude: 2828.9429500000 N, Longitude: 7706.3254580000 E
Latitude: 2828.9431000000 N, Longitude: 7706.3247380000 E
Latitude: 2828.9433340000 N, Longitude: 7706.3239520000 E
Latitude: 2828.9432080000 N, Longitude: 7706.3229920000 E
Latitude: 2828.9430400000 N, Longitude: 7706.3222960000 E
Latitude: 2828.9430220000 N, Longitude: 7706.3215280000 E
Latitude: 2828.9425900000 N, Longitude: 7706.3206280000 E
Latitude: 2828.9424400000 N, Longitude: 7706.3198480000 E
Latitude: 2828.9422840000 N, Longitude: 7706.3192060000 E
Latitude: 2828.9419360000 N, Longitude: 7706.3184680000 E
Latitude: 2828.9418460000 N, Longitude: 7706.3175860000 E
Latitude: 2828.9416600000 N, Longitude: 7706.3167760000 E
Latitude: 2828.9421880000 N, Longitude: 7706.3158040000 E
Latitude: 2828.9420560000 N, Longitude: 7706.3152460000 E
Latitude: 2828.9423920000 N, Longitude: 7706.3145200000 E
Latitude: 2828.9423560000 N, Longitude: 7706.3139800000 E
Latitude: 2828.9421820000 N, Longitude: 7706.3132360000 E
Latitude: 2828.9421400000 N, Longitude: 7706.3125040000 E
Latitude: 2828.9420500000 N, Longitude: 7706.3120120000 E
Latitude: 2828.9419120000 N, Longitude: 7706.3116100000 E
Latitude: 2828.9416780000 N, Longitude: 7706.3114720000 E
Latitude: 2828.9415340000 N, Longitude: 7706.3111240000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9414620000 N, Longitude: 7706.3110040000 E
Latitude: 2828.9419960000 N, Longitude: 7706.3118500000 E
Latitude: 2828.9417500000 N, Longitude: 7706.3121980000 E
Latitude: 2828.9416960000 N, Longitude: 7706.3125640000 E
Latitude: 2828.9415820000 N, Longitude: 7706.3131280000 E
Latitude: 2828.9414860000 N, Longitude: 7706.3134520000 E
Latitude: 2828.9414320000 N, Longitude: 7706.3136740000 E
